name,link
Acqua di Parma,/ca/en/brand/acqua-di-parma
adwoa beauty,/ca/en/brand/adwoa-beauty
AERIN,/ca/en/brand/aerin-perfume
Algenist,/ca/en/brand/algenist
ALTERNA Haircare,/ca/en/brand/alterna
amika,/ca/en/brand/amika
Anastasia Beverly Hills,/ca/en/brand/anastasia-beverly-hills
Armani Beauty,/ca/en/brand/giorgio-armani-beauty
Artist Couture,/ca/en/brand/artist-couture
Augustinus Bader,/ca/en/brand/augustinus-bader
bareMinerals,/ca/en/brand/bareminerals
BASMA,/ca/en/brand/basma
BeautyBio,/ca/en/brand/beautybio
beautyblender,/ca/en/brand/beautyblender
belif,/ca/en/brand/belif
Benefit Cosmetics,/ca/en/brand/benefit-cosmetics
Bio Ionic,/ca/en/brand/bio-ionic
Biossance,/ca/en/brand/biossance
Biotherm,/ca/en/brand/biotherm
Blinc,/ca/en/brand/blinc
Blume,/ca/en/brand/blume
Bobbi Brown,/ca/en/brand/bobbi-brown
BondiBoost,/ca/en/brand/bondi-boost
Briogeo,/ca/en/brand/briogeo
Bumble and bumble,/ca/en/brand/bumble-bumble
BURBERRY,/ca/en/brand/burberry
Buxom,/ca/en/brand/buxom
By Rosie Jane,/ca/en/brand/by-rosie-jane
caliray,/ca/en/brand/caliray
Calvin Klein,/ca/en/brand/calvin-klein
Capri Blue,/ca/en/brand/capri-blue
Carolina Herrera,/ca/en/brand/carolina-herrera
Caudalie,/ca/en/brand/caudalie
CAY SKIN,/ca/en/brand/cay-skin
Charlotte Tilbury,/ca/en/brand/charlotte-tilbury
Cheekbone Beauty,/ca/en/brand/cheekbone
Chloé,/ca/en/brand/chloe
Christophe Robin,/ca/en/brand/christophe-robin
Ciaté London,/ca/en/brand/ciate
Cinema Secrets,/ca/en/brand/cinema-secrets
Clarins,/ca/en/brand/clarins
Clé de Peau Beauté,/ca/en/brand/cle-de-peau-beaute
CLEAN RESERVE,/ca/en/brand/clean-reserve
CLINIQUE,/ca/en/brand/clinique
COLOR WOW,/ca/en/brand/color-wow
Commodity,/ca/en/brand/commodity
Comptoir Sud Pacifique,/ca/en/brand/comptoir-sud-pacifique
COOLA,/ca/en/brand/coola-suncare
dae,/ca/en/brand/dae
Dame,/ca/en/brand/dame-products
Danessa Myricks Beauty,/ca/en/brand/danessa-myricks-beauty
Darphin,/ca/en/brand/darphin
Deborah Lippmann,/ca/en/brand/deborah-lippmann
DedCool,/ca/en/brand/dedcool
DERMAFLASH,/ca/en/brand/dermaflash
Dermalogica,/ca/en/brand/dermalogica
Dior,/ca/en/brand/dior
Dolce&Gabbana,/ca/en/brand/dolce-gabbana
Donna Karan,/ca/en/brand/donna-karan
Dr. Barbara Sturm,/ca/en/brand/dr-barbara-sturm
Dr. Brandt Skincare,/ca/en/brand/dr-brandt-skincare
Dr. Dennis Gross Skincare,/ca/en/brand/dr-dennis-gross-skincare
Dr. Jart+,/ca/en/brand/dr-jart
Drunk Elephant,/ca/en/brand/drunk-elephant
Drybar,/ca/en/brand/drybar
DUO,/ca/en/brand/duo
Dyson,/ca/en/brand/dyson
Ellis Brooklyn,/ca/en/brand/ellis-brooklyn
Estée Lauder,/ca/en/brand/estee-lauder
Evereden,/ca/en/brand/evereden
Fable & Mane,/ca/en/brand/fable-mane
Farmacy,/ca/en/brand/farmacy
Fashion Fair,/ca/en/brand/fashion-fair
Fenty Beauty by Rihanna,/ca/en/brand/fenty-beauty-rihanna
Fenty Skin,/ca/en/brand/fenty-skin-rihanna
First Aid Beauty,/ca/en/brand/first-aid-beauty
Floral Street,/ca/en/brand/floral-street
FOREO,/ca/en/brand/foreo
FORVR Mood,/ca/en/brand/forvr-mood
Frank Body,/ca/en/brand/frank-body
Freck Beauty,/ca/en/brand/freck-beauty
fresh,/ca/en/brand/fresh
ghd,/ca/en/brand/ghd
Gisou,/ca/en/brand/gisou
Givenchy,/ca/en/brand/givenchy
Glamnetic,/ca/en/brand/glamnetic
GLO Science,/ca/en/brand/glo-science
Glossier,/ca/en/brand/glossier
Glow Recipe,/ca/en/brand/glow-recipe
goop,/ca/en/brand/goop
Grande Cosmetics,/ca/en/brand/grande-cosmetics
Grown Alchemist,/ca/en/brand/grown-alchemist
Gucci,/ca/en/brand/gucci
GUERLAIN,/ca/en/brand/guerlain
GXVE BY GWEN STEFANI,/ca/en/brand/gxve-by-gwen-stefani
HAUS LABS BY LADY GAGA,/ca/en/brand/haus-labs-by-lady-gaga
Herbivore,/ca/en/brand/herbivore-botanicals
HERMÈS,/ca/en/brand/hermes
Hourglass,/ca/en/brand/hourglass
House of Lashes,/ca/en/brand/house-of-lashes
HUDA BEAUTY,/ca/en/brand/huda-beauty
Hugo Boss,/ca/en/brand/hugo-boss
Iconic London,/ca/en/brand/iconic-london
IGK,/ca/en/brand/igk
ILIA,/ca/en/brand/ilia
iluminage,/ca/en/brand/iluminage
INC.redible,/ca/en/brand/incredible
The INKEY List,/ca/en/brand/the-inkey-list
iNNBEAUTY PROJECT,/ca/en/brand/innbeauty-project
innisfree,/ca/en/brand/innisfree
invisibobble,/ca/en/brand/invisibobble
Isle of Paradise,/ca/en/brand/isle-paradise
Issey Miyake,/ca/en/brand/issey-miyake
IT Cosmetics,/ca/en/brand/it-cosmetics
Jack Black,/ca/en/brand/jack-black
JLo Beauty,/ca/en/brand/jlo-beauty
Jo Malone London,/ca/en/brand/jo-malone-london
Josie Maran,/ca/en/brand/josie-maran
Jouer Cosmetics,/ca/en/brand/jouer-cosmetics
Juice Beauty,/ca/en/brand/juice-beauty
Juliette Has a Gun,/ca/en/brand/juliette-has-a-gun
JVN,/ca/en/brand/jvn
K18 Biomimetic Hairscience,/ca/en/brand/k18-hair
Kaja,/ca/en/brand/kaja
Kate Somerville,/ca/en/brand/kate-somerville
KAYALI,/ca/en/brand/kayali-by-huda
Kérastase,/ca/en/brand/kerastase
Keys Soulcare,/ca/en/brand/keys-soulcare
Kiehl's Since 1851,/ca/en/brand/kiehls
KILIAN Paris,/ca/en/brand/kilian
Kopari,/ca/en/brand/kopari
KORA Organics,/ca/en/brand/kora-organics
Kosas,/ca/en/brand/kosas
Kulfi,/ca/en/brand/kulfi
KVD Beauty,/ca/en/brand/kvd-vegan-beauty
L'Occitane,/ca/en/brand/l-occitane
La Mer,/ca/en/brand/la-mer
LANCER Skincare,/ca/en/brand/lancer
Lancôme,/ca/en/brand/lancome
LANEIGE,/ca/en/brand/laneige
Laura Mercier,/ca/en/brand/laura-mercier
LAWLESS,/ca/en/brand/lawless
lilah b.,/ca/en/brand/lilah-b
Lilly Lashes,/ca/en/brand/lilly-lashes
Lise Watier,/ca/en/brand/lise-watier
Living Proof,/ca/en/brand/living-proof
LYS Beauty,/ca/en/brand/lys-beauty
MAC Cosmetics,/ca/en/brand/mac-cosmetics
Maison Louis Marie,/ca/en/brand/maison-louis-marie
Maison Margiela,/ca/en/brand/maison-margiela
MAKE UP FOR EVER,/ca/en/brand/make-up-for-ever
MAKEUP BY MARIO,/ca/en/brand/makeup-by-mario
MALIN+GOETZ,/ca/en/brand/malin-goetz
Marc Jacobs Fragrances,/ca/en/brand/marc-jacobs-fragrances
Mario Badescu,/ca/en/brand/mario-badescu
maude,/ca/en/brand/maude
Melt Cosmetics,/ca/en/brand/melt-cosmetics
MERIT,/ca/en/brand/merit
Milk Makeup,/ca/en/brand/milk-makeup
Mizani,/ca/en/brand/mizani
Montblanc,/ca/en/brand/montblanc
Moon Juice,/ca/en/brand/moon-juice
Moroccanoil,/ca/en/brand/moroccanoil
Morphe,/ca/en/brand/morphe
Mount Lai,/ca/en/brand/mount-lai
Mugler,/ca/en/brand/mugler
Murad,/ca/en/brand/murad
NAILS INC.,/ca/en/brand/nails-inc
Narciso Rodriguez,/ca/en/brand/narciso-rodriguez
NARS,/ca/en/brand/nars
Natasha Denona,/ca/en/brand/natasha-denona
Nécessaire,/ca/en/brand/necessaire
NEST New York,/ca/en/brand/nest
Nioxin,/ca/en/brand/nioxin
NUDESTIX,/ca/en/brand/nudestix
NuFACE,/ca/en/brand/nuface
Nurse Jamie,/ca/en/brand/nurse-jamie
Olaplex,/ca/en/brand/olaplex
OLEHENRIKSEN,/ca/en/brand/ole-henriksen
ONE/SIZE by Patrick Starrr,/ca/en/brand/one-size-by-patrick-starrr
The Ordinary,/ca/en/brand/the-ordinary
Oribe,/ca/en/brand/oribe
The Original MakeUp Eraser,/ca/en/brand/makeup-eraser
Origins,/ca/en/brand/origins
OUAI,/ca/en/brand/ouai-haircare
Paco Rabanne,/ca/en/brand/paco-rabanne
PAT McGRATH LABS,/ca/en/brand/pat-mcgrath-labs
PATRICK TA,/ca/en/brand/patrick-ta
PATTERN by Tracee Ellis Ross,/ca/en/brand/pattern-beauty-by-tracee-ellis-ross
Paula's Choice,/ca/en/brand/paulas-choice
Peace Out,/ca/en/brand/peace-out
Peter Thomas Roth,/ca/en/brand/peter-thomas-roth
philosophy,/ca/en/brand/philosophy
PHLUR,/ca/en/brand/phlur
PMD,/ca/en/brand/pmd
Prada,/ca/en/brand/prada
Pureology,/ca/en/brand/pureology
Ralph Lauren,/ca/en/brand/ralph-lauren
Rare Beauty by Selena Gomez,/ca/en/brand/rare-beauty-by-selena-gomez
REFY,/ca/en/brand/refy-beauty
REN Clean Skincare,/ca/en/brand/ren
rms beauty,/ca/en/brand/rms-beauty
ROSE INC,/ca/en/brand/rose-inc
Saie,/ca/en/brand/saie
SEPHORA COLLECTION,/ca/en/brand/sephora-collection
Sephora Favorites,/ca/en/brand/sephora-favorites
Shani Darden Skin Care,/ca/en/brand/shani-darden
Shiseido,/ca/en/brand/shiseido
shu uemura,/ca/en/brand/shu-uemura
SIMIHAZE BEAUTY,/ca/en/brand/simihaze
SK-II,/ca/en/brand/sk-ii
Skin Laundry,/ca/en/brand/skin-laundry
Skinfix,/ca/en/brand/skinfix
Skylar,/ca/en/brand/skylar
skyn ICELAND,/ca/en/brand/skyn-iceland
Slip,/ca/en/brand/slip
Smashbox,/ca/en/brand/smashbox
Sol de Janeiro,/ca/en/brand/sol-de-janeiro
St. Tropez,/ca/en/brand/st-tropez-tanning-essentials
stila,/ca/en/brand/stila
StriVectin,/ca/en/brand/strivectin
Sulwhasoo,/ca/en/brand/sulwhasoo
Summer Fridays,/ca/en/brand/summer-fridays
Sunday Riley,/ca/en/brand/sunday-riley
Supergoop!,/ca/en/brand/supergoop
Susteau,/ca/en/brand/susteau
T3,/ca/en/brand/t3
TAN-LUXE,/ca/en/brand/tan-luxe
tarte,/ca/en/brand/tarte
Tata Harper,/ca/en/brand/tata-harper
Tatcha,/ca/en/brand/tatcha
TOM FORD,/ca/en/brand/tom-ford
Too Faced,/ca/en/brand/too-faced
Topicals,/ca/en/brand/topicals
Tower 28 Beauty,/ca/en/brand/tower-28
TULA Skincare,/ca/en/brand/tula-skincare
Tweezerman,/ca/en/brand/tweezerman
Urban Decay,/ca/en/brand/urban-decay
Valentino,/ca/en/brand/valentino
Velour Lashes,/ca/en/brand/velour-lashes
Verb,/ca/en/brand/verb-hair-care
Versace,/ca/en/brand/versace
Viktor&Rolf,/ca/en/brand/viktor-rolf
Violet Voss,/ca/en/brand/violet-voss
Viori,/ca/en/brand/viori
Virtue,/ca/en/brand/virtue
Viseart,/ca/en/brand/viseart
Voluspa,/ca/en/brand/voluspa
Wander Beauty,/ca/en/brand/wander-beauty
WASO,/ca/en/brand/waso
Westman Atelier,/ca/en/brand/westman-atelier
Wishful,/ca/en/brand/wishful-by-huda
Youth To The People,/ca/en/brand/youth-to-the-people
Yves Saint Laurent,/ca/en/brand/yves-saint-laurent
54 Thrones,/ca/en/brand/54-thrones
The 7 Virtues,/ca/en/brand/7-virtues
